1	root gist	X=before-2	Y=before
2	root gist	X=before-2	Y=before
3	root gist	X=before-2	Y=before
4	d1 gist	X=before-2	Y=before
5	d1 gist	X=before	Y=before-2
6	d1 gist	X=before	Y=before-2
7	d1 gist	X=before-2	Y=before
8	d1 gist	X=before	Y=before-2
9	d1 gist	X=before	Y=before-2
10	d1 gist	X=before-2	Y=before
11	d1 gist	X=before	Y=before-2
12	d1 gist	X=before-2	Y=before
13	d1 gist	X=before-2	Y=before
14	d1 gist	X=before	Y=before-2
15	d1 gist	X=before-2	Y=before
16	d1 gist	X=before	Y=before-2
17	d1 gist	X=before	Y=before-2
18	d1 gist	X=before-2	Y=before
19	d1 gist	X=before	Y=before-2
20	d1 gist	X=before	Y=before-2
21	d2+ gist	X=before-2	Y=before
22	d2+ gist	X=before-2	Y=before
23	d2+ gist	X=before	Y=before-2
24	d2+ gist	X=before-2	Y=before
25	d2+ gist	X=before-2	Y=before
26	d2+ gist	X=before-2	Y=before
27	d2+ gist	X=before	Y=before-2
28	d2+ gist	X=before-2	Y=before
29	d2+ gist	X=before-2	Y=before
30	d2+ gist	X=before	Y=before-2
31	d2+ gist	X=before-2	Y=before
32	d2+ gist	X=before-2	Y=before
33	d2+ gist	X=before	Y=before-2
34	d2+ gist	X=before	Y=before-2
35	d2+ gist	X=before-2	Y=before
36	d2+ gist	X=before	Y=before-2
37	d2+ gist	X=before-2	Y=before
38	d2+ gist	X=before	Y=before-2
39	d2+ gist	X=before-2	Y=before
40	d2+ gist	X=before	Y=before-2
41	d2+ gist	X=before	Y=before-2
42	d2+ gist	X=before-2	Y=before
43	d2+ gist	X=before	Y=before-2
44	d2+ gist	X=before-2	Y=before
45	d2+ gist	X=before	Y=before-2
46	d2+ gist	X=before	Y=before-2
47	d2+ gist	X=before	Y=before-2
48	d2+ gist	X=before	Y=before-2
49	d2+ gist	X=before-2	Y=before
50	d2+ gist	X=before-2	Y=before
51	d2+ gist	X=before-2	Y=before
52	d2+ gist	X=before-2	Y=before
53	d2+ gist	X=before	Y=before-2
54	d2+ gist	X=before	Y=before-2
55	d2+ gist	X=before-2	Y=before
56	d2+ gist	X=before-2	Y=before
57	d2+ gist	X=before	Y=before-2
58	d2+ gist	X=before-2	Y=before
59	d2+ gist	X=before	Y=before-2
60	d2+ gist	X=before-2	Y=before
61	d2+ gist	X=before	Y=before-2
62	root question	X=before	Y=before-2
63	root question	X=before	Y=before-2
64	root question	X=before-2	Y=before
65	d1 question	X=before	Y=before-2
66	d1 question	X=before-2	Y=before
67	d1 question	X=before-2	Y=before
68	d1 question	X=before-2	Y=before
69	d1 question	X=before-2	Y=before
70	d1 question	X=before	Y=before-2
71	d1 question	X=before-2	Y=before
72	d1 question	X=before	Y=before-2
73	d1 question	X=before-2	Y=before
74	d1 question	X=before	Y=before-2
75	d1 question	X=before	Y=before-2
76	d1 question	X=before-2	Y=before
77	d1 question	X=before-2	Y=before
78	d1 question	X=before-2	Y=before
79	d1 question	X=before	Y=before-2
80	d1 question	X=before-2	Y=before
81	d1 question	X=before-2	Y=before
82	senseHere	X=before-2	Y=before
83	senseHere	X=before-2	Y=before
84	senseHere	X=before	Y=before-2
85	senseHere	X=before	Y=before-2
86	senseHere	X=before-2	Y=before
87	senseHere	X=before	Y=before-2
88	senseHere	X=before	Y=before-2
89	senseHere	X=before	Y=before-2
90	senseHere	X=before-2	Y=before
91	senseHere	X=before-2	Y=before
92	senseHere	X=before	Y=before-2
93	senseHere	X=before-2	Y=before
94	senseHere	X=before	Y=before-2
95	senseHere	X=before-2	Y=before
96	senseHere	X=before-2	Y=before
97	senseHere	X=before-2	Y=before
98	senseHere	X=before-2	Y=before
99	senseHere	X=before-2	Y=before
100	senseHere	X=before	Y=before-2
101	senseHere	X=before	Y=before-2
102	senseHere	X=before-2	Y=before
103	senseHere	X=before-2	Y=before
104	senseHere	X=before	Y=before-2
105	senseHere	X=before-2	Y=before
106	senseHere	X=before-2	Y=before
107	senseHere	X=before-2	Y=before
108	senseHere	X=before-2	Y=before
109	background	X=before	Y=before-2
110	background	X=before	Y=before-2
111	background	X=before-2	Y=before
112	background	X=before	Y=before-2
113	background	X=before	Y=before-2
