1	root gist	X=after-8	Y=before
2	root gist	X=after-8	Y=before
3	root gist	X=after-8	Y=before
4	d1 gist	X=after-8	Y=before
5	d1 gist	X=before	Y=after-8
6	d1 gist	X=before	Y=after-8
7	d1 gist	X=after-8	Y=before
8	d1 gist	X=before	Y=after-8
9	d1 gist	X=before	Y=after-8
10	d1 gist	X=after-8	Y=before
11	d1 gist	X=before	Y=after-8
12	d1 gist	X=after-8	Y=before
13	d1 gist	X=after-8	Y=before
14	d1 gist	X=before	Y=after-8
15	d1 gist	X=after-8	Y=before
16	d1 gist	X=before	Y=after-8
17	d1 gist	X=before	Y=after-8
18	d2+ gist	X=after-8	Y=before
19	d2+ gist	X=before	Y=after-8
20	d2+ gist	X=before	Y=after-8
21	d2+ gist	X=after-8	Y=before
22	d2+ gist	X=after-8	Y=before
23	d2+ gist	X=before	Y=after-8
24	d2+ gist	X=after-8	Y=before
25	d2+ gist	X=after-8	Y=before
26	d2+ gist	X=after-8	Y=before
27	d2+ gist	X=before	Y=after-8
28	d2+ gist	X=after-8	Y=before
29	d2+ gist	X=after-8	Y=before
30	d2+ gist	X=before	Y=after-8
31	d2+ gist	X=after-8	Y=before
32	d2+ gist	X=after-8	Y=before
33	d2+ gist	X=before	Y=after-8
34	d2+ gist	X=before	Y=after-8
35	d2+ gist	X=after-8	Y=before
36	d2+ gist	X=before	Y=after-8
37	d2+ gist	X=after-8	Y=before
38	d2+ gist	X=before	Y=after-8
39	d2+ gist	X=after-8	Y=before
40	d2+ gist	X=before	Y=after-8
41	d2+ gist	X=before	Y=after-8
42	d2+ gist	X=after-8	Y=before
43	root question	X=before	Y=after-8
44	root question	X=after-8	Y=before
45	root question	X=before	Y=after-8
46	d1 question	X=before	Y=after-8
47	d1 question	X=before	Y=after-8
48	d1 question	X=before	Y=after-8
49	d1 question	X=after-8	Y=before
50	d1 question	X=after-8	Y=before
51	d1 question	X=after-8	Y=before
52	d1 question	X=after-8	Y=before
53	d1 question	X=before	Y=after-8
54	d1 question	X=before	Y=after-8
55	d1 question	X=after-8	Y=before
56	d1 question	X=after-8	Y=before
57	d1 question	X=before	Y=after-8
58	d1 question	X=after-8	Y=before
59	d1 question	X=before	Y=after-8
60	senseHere	X=after-8	Y=before
61	senseHere	X=before	Y=after-8
62	senseHere	X=before	Y=after-8
63	senseHere	X=before	Y=after-8
64	senseHere	X=after-8	Y=before
65	senseHere	X=before	Y=after-8
66	senseHere	X=after-8	Y=before
67	senseHere	X=after-8	Y=before
68	senseHere	X=after-8	Y=before
69	senseHere	X=after-8	Y=before
70	senseHere	X=before	Y=after-8
71	senseHere	X=after-8	Y=before
72	senseHere	X=before	Y=after-8
73	senseHere	X=after-8	Y=before
74	senseHere	X=before	Y=after-8
75	senseHere	X=before	Y=after-8
76	senseHere	X=after-8	Y=before
77	senseHere	X=after-8	Y=before
78	senseHere	X=after-8	Y=before
79	senseHere	X=before	Y=after-8
80	senseHere	X=after-8	Y=before
81	senseHere	X=after-8	Y=before
82	senseHere	X=after-8	Y=before
83	senseHere	X=after-8	Y=before
84	senseHere	X=before	Y=after-8
85	senseHere	X=before	Y=after-8
86	senseHere	X=after-8	Y=before
87	senseHere	X=before	Y=after-8
88	senseHere	X=before	Y=after-8
89	senseHere	X=before	Y=after-8
90	background	X=after-8	Y=before
91	background	X=after-8	Y=before
