1	root gist	X=after-6	Y=before
2	root gist	X=before	Y=after-6
3	root gist	X=before	Y=after-6
4	d1 gist	X=before	Y=after-6
5	d1 gist	X=before	Y=after-6
6	d1 gist	X=before	Y=after-6
7	d1 gist	X=before	Y=after-6
8	d1 gist	X=before	Y=after-6
9	d1 gist	X=before	Y=after-6
10	d1 gist	X=before	Y=after-6
11	d1 gist	X=before	Y=after-6
12	d1 gist	X=before	Y=after-6
13	d1 gist	X=before	Y=after-6
14	d1 gist	X=before	Y=after-6
15	d1 gist	X=before	Y=after-6
16	d1 gist	X=before	Y=after-6
17	d2+ gist	X=before	Y=after-6
18	d2+ gist	X=before	Y=after-6
19	d2+ gist	X=before	Y=after-6
20	d2+ gist	X=before	Y=after-6
21	d2+ gist	X=before	Y=after-6
22	d2+ gist	X=before	Y=after-6
23	d2+ gist	X=before	Y=after-6
24	d2+ gist	X=before	Y=after-6
25	d2+ gist	X=before	Y=after-6
26	d2+ gist	X=before	Y=after-6
27	d2+ gist	X=before	Y=after-6
28	d2+ gist	X=before	Y=after-6
29	d2+ gist	X=before	Y=after-6
30	d2+ gist	X=before	Y=after-6
31	d2+ gist	X=before	Y=after-6
32	d2+ gist	X=before	Y=after-6
33	d2+ gist	X=before	Y=after-6
34	d2+ gist	X=before	Y=after-6
35	d2+ gist	X=before	Y=after-6
36	d2+ gist	X=before	Y=after-6
37	d2+ gist	X=before	Y=after-6
38	d2+ gist	X=before	Y=after-6
39	d2+ gist	X=before	Y=after-6
40	d2+ gist	X=before	Y=after-6
41	d2+ gist	X=before	Y=after-6
42	d2+ gist	X=before	Y=after-6
43	root question	X=before	Y=after-6
44	root question	X=before	Y=after-6
45	root question	X=before	Y=after-6
46	d1 question	X=before	Y=after-6
47	d1 question	X=before	Y=after-6
48	d1 question	X=before	Y=after-6
49	d1 question	X=before	Y=after-6
50	d1 question	X=before	Y=after-6
51	d1 question	X=before	Y=after-6
52	d1 question	X=before	Y=after-6
53	d1 question	X=before	Y=after-6
54	d1 question	X=before	Y=after-6
55	d1 question	X=before	Y=after-6
56	d1 question	X=before	Y=after-6
57	d1 question	X=before	Y=after-6
58	d1 question	X=before	Y=after-6
59	senseHere	X=before	Y=after-6
60	senseHere	X=before	Y=after-6
61	senseHere	X=before	Y=after-6
62	senseHere	X=before	Y=after-6
63	senseHere	X=before	Y=after-6
64	senseHere	X=before	Y=after-6
65	senseHere	X=before	Y=after-6
66	senseHere	X=before	Y=after-6
67	senseHere	X=before	Y=after-6
68	senseHere	X=before	Y=after-6
69	senseHere	X=before	Y=after-6
70	senseHere	X=before	Y=after-6
71	senseHere	X=before	Y=after-6
72	senseHere	X=before	Y=after-6
73	senseHere	X=before	Y=after-6
74	senseHere	X=before	Y=after-6
75	senseHere	X=before	Y=after-6
76	senseHere	X=before	Y=after-6
77	senseHere	X=before	Y=after-6
78	senseHere	X=before	Y=after-6
79	senseHere	X=before	Y=after-6
80	senseHere	X=before	Y=after-6
81	senseHere	X=before	Y=after-6
82	senseHere	X=before	Y=after-6
83	senseHere	X=before	Y=after-6
84	senseHere	X=before	Y=after-6
85	senseHere	X=before	Y=after-6
86	senseHere	X=before	Y=after-6
87	senseHere	X=before	Y=after-6
88	senseHere	X=before	Y=after-6
89	senseHere	X=before	Y=after-6
90	senseHere	X=before	Y=after-6
91	senseHere	X=before	Y=after-6
92	background	X=before	Y=after-6
93	background	X=before	Y=after-6
94	background	X=before	Y=after-6
95	background	X=before	Y=after-6
