1	root gist	X=after-7	Y=before
2	root gist	X=after-7	Y=before
3	root gist	X=after-7	Y=before
4	d1 gist	X=after-7	Y=before
5	d1 gist	X=before	Y=after-7
6	d1 gist	X=before	Y=after-7
7	d1 gist	X=after-7	Y=before
8	d1 gist	X=before	Y=after-7
9	d1 gist	X=before	Y=after-7
10	d1 gist	X=after-7	Y=before
11	d1 gist	X=before	Y=after-7
12	d1 gist	X=after-7	Y=before
13	d1 gist	X=after-7	Y=before
14	d1 gist	X=before	Y=after-7
15	d1 gist	X=after-7	Y=before
16	d2+ gist	X=before	Y=after-7
17	d2+ gist	X=before	Y=after-7
18	d2+ gist	X=after-7	Y=before
19	d2+ gist	X=before	Y=after-7
20	d2+ gist	X=before	Y=after-7
21	d2+ gist	X=after-7	Y=before
22	d2+ gist	X=after-7	Y=before
23	d2+ gist	X=before	Y=after-7
24	d2+ gist	X=after-7	Y=before
25	d2+ gist	X=after-7	Y=before
26	d2+ gist	X=after-7	Y=before
27	d2+ gist	X=before	Y=after-7
28	d2+ gist	X=after-7	Y=before
29	d2+ gist	X=after-7	Y=before
30	d2+ gist	X=before	Y=after-7
31	d2+ gist	X=after-7	Y=before
32	d2+ gist	X=after-7	Y=before
33	d2+ gist	X=before	Y=after-7
34	d2+ gist	X=before	Y=after-7
35	d2+ gist	X=after-7	Y=before
36	d2+ gist	X=before	Y=after-7
37	d2+ gist	X=after-7	Y=before
38	d2+ gist	X=before	Y=after-7
39	d2+ gist	X=after-7	Y=before
40	root question	X=before	Y=after-7
41	root question	X=before	Y=after-7
42	root question	X=after-7	Y=before
43	d1 question	X=before	Y=after-7
44	d1 question	X=after-7	Y=before
45	d1 question	X=before	Y=after-7
46	d1 question	X=before	Y=after-7
47	d1 question	X=before	Y=after-7
48	d1 question	X=before	Y=after-7
49	d1 question	X=after-7	Y=before
50	d1 question	X=after-7	Y=before
51	d1 question	X=after-7	Y=before
52	d1 question	X=after-7	Y=before
53	d1 question	X=before	Y=after-7
54	d1 question	X=before	Y=after-7
55	senseHere	X=after-7	Y=before
56	senseHere	X=after-7	Y=before
57	senseHere	X=before	Y=after-7
58	senseHere	X=after-7	Y=before
59	senseHere	X=before	Y=after-7
60	senseHere	X=after-7	Y=before
61	senseHere	X=before	Y=after-7
62	senseHere	X=before	Y=after-7
63	senseHere	X=before	Y=after-7
64	senseHere	X=after-7	Y=before
65	senseHere	X=before	Y=after-7
66	senseHere	X=after-7	Y=before
67	senseHere	X=after-7	Y=before
68	senseHere	X=after-7	Y=before
69	senseHere	X=after-7	Y=before
70	senseHere	X=before	Y=after-7
71	senseHere	X=after-7	Y=before
72	senseHere	X=before	Y=after-7
73	senseHere	X=after-7	Y=before
74	senseHere	X=before	Y=after-7
75	senseHere	X=before	Y=after-7
76	senseHere	X=after-7	Y=before
77	senseHere	X=after-7	Y=before
78	senseHere	X=after-7	Y=before
79	senseHere	X=before	Y=after-7
80	senseHere	X=after-7	Y=before
81	senseHere	X=after-7	Y=before
82	senseHere	X=after-7	Y=before
83	senseHere	X=after-7	Y=before
84	senseHere	X=before	Y=after-7
85	senseHere	X=before	Y=after-7
86	senseHere	X=after-7	Y=before
87	senseHere	X=before	Y=after-7
88	background	X=before	Y=after-7
89	background	X=before	Y=after-7
